week,ydstogo,yardline_100,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,converted,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,rush,dome,KICKOFF,PUNT,home,random_var,minutes_remaining
2,6,48,1,3,21,1,35.7,30.8,30.8,3,0,6,0,0,0,1,1,0.311503025378691,7.35
2,1,1,0,3,21,1,35.7,30.8,30.8,3,0,6,1,0,0,1,1,0.636442619486479,5.183333333333334
2,1,66,3,3,0,1,42.4,20,18.8,1,1,7,1,0,1,0,1,-0.667658936249685,58.9
2,21,54,3,3,0,0,42.4,20,18.8,1,1,7,0,0,1,0,1,-0.508406393233533,56.016666666666666
2,3,78,3,3,0,1,39.4,21.1,10,1,6,7,0,0,0,1,0,-0.430225948842391,53.8
2,4,4,3,3,0,0,39.4,21.1,10,1,6,7,0,0,0,1,0,-0.267690462025467,48.13333333333333
2,3,68,3,3,-3,1,42.4,20,18.8,1,1,7,0,0,1,0,1,0.507735798195331,46.95
2,8,39,3,3,-3,0,42.4,20,18.8,1,1,7,0,0,1,0,1,-1.31468513842398,45.166666666666664
2,7,70,3,3,3,1,39.4,21.1,10,1,6,7,0,0,0,0,0,2.70976055627953,44.46666666666667
2,1,66,3,3,-10,1,42.4,20,18.8,1,1,7,1,0,1,0,1,1.05462906226504,38.46666666666667
2,10,65,3,2,-10,0,42.4,20,18.8,1,1,7,0,0,1,0,1,0.0719840562199606,36.95
2,7,81,2,3,10,0,39.4,21.1,10,1,6,7,0,0,0,1,0,0.230350290742981,35.93333333333333
2,1,46,3,2,-10,1,42.4,20,18.8,1,1,7,1,0,0,1,1,-0.436711402855839,34.05
2,9,31,3,1,-10,0,42.4,20,18.8,1,1,7,0,0,0,1,1,-0.406407144842562,31.95
2,1,66,1,3,7,1,39.4,21.1,10,1,6,7,1,0,1,0,0,0.882094964707465,31.666666666666668
2,9,74,3,3,14,0,39.4,21.1,10,1,6,7,0,0,1,0,0,0.667668038972251,28.55
2,1,42,3,3,-14,0,42.4,20,18.8,1,1,7,1,0,0,1,1,1.04566853274026,25.766666666666666
2,3,67,3,3,14,1,39.4,21.1,10,1,6,7,0,0,0,1,0,-0.613972198397788,22.35
2,11,31,3,3,14,0,39.4,21.1,10,1,6,7,0,0,0,1,0,-0.141018558511318,18.7
2,1,40,3,3,-14,1,42.4,20,18.8,1,1,7,0,0,0,0,1,-0.378408863140443,18.016666666666666
2,2,25,2,3,-14,0,42.4,20,18.8,1,1,7,1,0,0,0,1,0.233142893782069,16.766666666666666
2,7,94,3,2,14,0,39.4,21.1,10,1,6,7,0,0,0,0,0,-0.0892201535287271,15.033333333333333
