week,attempt,ydstogo,yardline_100,minutes_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,dome,KICKOFF,PUNT,home,random_var
2,1,1,22,40.3833333333333,1,3,11,64,14.3,27.3,0,2,7,0,0,1,1,-0.257024595245043
2,0,9,74,38.2166666666667,3,1,-18,40,50,38.5,3,0,7,0,1,0,0,-0.575453935154478
2,1,4,4,31.8666666666667,3,0,-18,40,50,38.5,3,0,7,0,0,0,0,-0.139490219660408
2,0,2,67,31.4666666666667,0,1,10,64,14.3,27.3,0,2,7,0,1,0,1,0.089196213235566
2,0,21,86,28.9666666666667,3,3,7,64,14.3,27.3,0,2,7,0,1,0,1,0.99504158772772
2,0,20,41,22.6,3,3,0,40,50,38.5,3,0,7,0,0,0,0,1.0648122368248
2,0,5,13,17.2333333333333,3,3,0,64,14.3,27.3,0,2,7,0,0,0,1,0.253574043349025
2,0,9,69,12.5333333333333,3,3,-4,64,14.3,27.3,0,2,7,0,1,0,1,-0.785946702314104
2,0,14,14,1.88333333333333,2,3,-11,64,14.3,27.3,0,2,7,0,1,0,1,-1.86761999822352
2,0,9,56,0.933333333333333,2,0,8,40,50,38.5,3,0,7,0,1,0,0,0.139461426737679
2,1,3,80,0.466666666666667,0,2,-8,64,14.3,27.3,0,2,7,0,0,1,1,0.707241791989295
3,0,2,71,58.5166666666667,3,3,0,57.1,66.7,32,2,2,7,1,1,0,0,-1.29044965320292
3,0,6,82,57.0833333333333,3,3,0,64.3,27.9,36,3,5,7,1,0,1,1,0.718865808676171
3,0,28,75,53.4666666666667,2,3,0,57.1,66.7,32,2,2,7,1,0,1,0,0.460595736580243
3,0,6,18,46.8333333333333,3,2,0,64.3,27.9,36,3,5,7,1,0,1,1,-0.163227388599036
3,0,14,30,41.6166666666667,2,3,-3,57.1,66.7,32,2,2,7,1,1,0,0,1.44594053807488
3,0,9,74,39.1666666666667,2,3,-7,57.1,66.7,32,2,2,7,1,1,0,0,1.67662582586723
3,0,6,6,31.9333333333333,2,2,7,64.3,27.9,36,3,5,7,1,0,1,1,1.31362539517549
3,0,14,79,31.0666666666667,2,1,-10,57.1,66.7,32,2,2,7,1,1,0,0,-0.0435078513271104
3,0,10,63,30.4833333333333,0,2,10,64.3,27.9,36,3,5,7,1,0,1,1,1.0801084830037
3,0,1,66,28.15,3,3,10,64.3,27.9,36,3,5,7,1,1,0,1,0.562724101706201
3,0,5,28,23.5,3,3,-10,57.1,66.7,32,2,2,7,1,0,1,0,0.289649532320425
3,0,7,42,20.4333333333333,3,3,10,64.3,27.9,36,3,5,7,1,0,0,1,0.798090626660936
3,0,7,71,18.7666666666667,3,3,-10,57.1,66.7,32,2,2,7,1,0,1,0,1.06070778637593
3,0,7,72,16.9666666666667,3,3,10,64.3,27.9,36,3,5,7,1,0,1,1,-0.707576697122149
3,0,17,72,16.0166666666667,3,2,-10,57.1,66.7,32,2,2,7,1,0,1,0,1.64320477248434
3,1,4,37,13.7666666666667,3,2,-10,57.1,66.7,32,2,2,7,1,0,0,0,0.193578565737778
3,0,6,6,4.36666666666667,3,2,-17,57.1,66.7,32,2,2,7,1,1,0,0,0.762028487530801
